ISBN,Book-Title,Book-Author,Year-Of-Publication,Original-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
251,1995 United States Congressional Address Book,United States,1995,,,https://www.gutenberg.org/cache/epub/251/pg251.cover.medium.jpg,https://www.gutenberg.org/cache/epub/251/pg251.cover.medium.jpg,https://www.gutenberg.org/cache/epub/251/pg251.cover.medium.jpg
252,Copyright Law of the United States of AmericaContained in Title 17 of the United States Code,Library of Congress. Copyright Office,1995,,,https://www.gutenberg.org/cache/epub/252/pg252.cover.medium.jpg,https://www.gutenberg.org/cache/epub/252/pg252.cover.medium.jpg,https://www.gutenberg.org/cache/epub/252/pg252.cover.medium.jpg
253,The Universal Copyright Convention (1988),Coalition for Networked Information,1995,,,https://www.gutenberg.org/cache/epub/253/pg253.cover.medium.jpg,https://www.gutenberg.org/cache/epub/253/pg253.cover.medium.jpg,https://www.gutenberg.org/cache/epub/253/pg253.cover.medium.jpg
254,The Second Story of MenoA Continuation of Socrates' Dialogue with Meno in Which the Boy Proves Root 2 is Irrational,Unknown,2008,,,https://www.gutenberg.org/cache/epub/254/pg254.cover.medium.jpg,https://www.gutenberg.org/cache/epub/254/pg254.cover.medium.jpg,https://www.gutenberg.org/cache/epub/254/pg254.cover.medium.jpg
255,"QREAD, Etext Reader for Windows","Scavezze, Dan",1995,,,https://www.gutenberg.org/cache/epub/255/pg255.cover.medium.jpg,https://www.gutenberg.org/cache/epub/255/pg255.cover.medium.jpg,https://www.gutenberg.org/cache/epub/255/pg255.cover.medium.jpg
256,Motion Picture of Rotating Earth,United States,1995,,,https://www.gutenberg.org/cache/epub/256/pg256.cover.medium.jpg,https://www.gutenberg.org/cache/epub/256/pg256.cover.medium.jpg,https://www.gutenberg.org/cache/epub/256/pg256.cover.medium.jpg
257,Troilus and Criseyde,"Chaucer, Geoffrey, 1343?-1400",1995,,,https://www.gutenberg.org/cache/epub/257/pg257.cover.medium.jpg,https://www.gutenberg.org/cache/epub/257/pg257.cover.medium.jpg,https://www.gutenberg.org/cache/epub/257/pg257.cover.medium.jpg
258,Poems by Adam Lindsay Gordon,"Gordon, Adam Lindsay, 1833-1870",2008,,,https://www.gutenberg.org/cache/epub/258/pg258.cover.medium.jpg,https://www.gutenberg.org/cache/epub/258/pg258.cover.medium.jpg,https://www.gutenberg.org/cache/epub/258/pg258.cover.medium.jpg
259,Ballads of a Cheechako,"Service, Robert W. (Robert William), 1874-1958",2008,,,https://www.gutenberg.org/cache/epub/259/pg259.cover.medium.jpg,https://www.gutenberg.org/cache/epub/259/pg259.cover.medium.jpg,https://www.gutenberg.org/cache/epub/259/pg259.cover.medium.jpg
260,An Introduction to the Study of Robert Browning's Poetry,"Browning, Robert, 1812-1889",2008,,,https://www.gutenberg.org/cache/epub/260/pg260.cover.medium.jpg,https://www.gutenberg.org/cache/epub/260/pg260.cover.medium.jpg,https://www.gutenberg.org/cache/epub/260/pg260.cover.medium.jpg
